duration,start,end,strt_statn,end_statn,userType,gender,tripType
307,09/27/2011 09:30:00,09/27/2011 14:37:00,59,60,C,,trip
2593,09/27/2011 14:37:00,09/29/2011 09:50:00,60,60,,,wait
7,09/29/2011 09:50:00,09/29/2011 09:57:00,60,49,C,,trip
51,09/29/2011 09:57:00,09/29/2011 10:48:00,49,49,,,wait
7,09/29/2011 10:48:00,09/29/2011 10:55:00,49,16,R,M,trip
264,09/29/2011 10:55:00,09/29/2011 15:19:00,16,16,,,wait
19,09/29/2011 15:19:00,09/29/2011 15:38:00,16,16,R,M,trip
996,09/29/2011 15:38:00,09/30/2011 08:14:00,16,16,,,wait
8,09/30/2011 08:14:00,09/30/2011 08:22:00,16,55,R,F,trip
39,09/30/2011 08:22:00,09/30/2011 09:01:00,55,55,,,wait
9,09/30/2011 09:01:00,09/30/2011 09:10:00,55,22,R,M,trip
346,09/30/2011 09:10:00,09/30/2011 14:56:00,22,22,,,wait
20,09/30/2011 14:56:00,09/30/2011 15:16:00,22,56,R,M,trip
242,09/30/2011 15:16:00,09/30/2011 19:18:00,56,56,,,wait
36,09/30/2011 19:18:00,09/30/2011 19:54:00,56,56,C,,trip
25,09/30/2011 19:54:00,09/30/2011 20:19:00,56,56,,,wait
3,09/30/2011 20:19:00,09/30/2011 20:22:00,56,10,C,,trip
1,09/30/2011 20:22:00,09/30/2011 20:23:00,10,10,,,wait
2,09/30/2011 20:23:00,09/30/2011 20:25:00,10,9,C,,trip
59,09/30/2011 20:25:00,09/30/2011 21:24:00,9,9,,,wait
5,09/30/2011 21:24:00,09/30/2011 21:29:00,9,56,R,M,trip
1017,09/30/2011 21:29:00,10/01/2011 14:26:00,56,56,,,wait
34,10/01/2011 14:26:00,10/01/2011 15:00:00,56,10,C,,trip
14,10/01/2011 15:00:00,10/01/2011 15:14:00,10,10,,,wait
4,10/01/2011 15:14:00,10/01/2011 15:18:00,10,9,R,F,trip
150,10/01/2011 15:18:00,10/01/2011 17:48:00,9,9,,,wait
5,10/01/2011 17:48:00,10/01/2011 17:53:00,9,56,R,F,trip
5,10/01/2011 17:53:00,10/01/2011 17:58:00,56,56,,,wait
6,10/01/2011 17:58:00,10/01/2011 18:04:00,56,34,R,M,trip
1534,10/01/2011 18:04:00,10/02/2011 19:38:00,34,34,,,wait
25,10/02/2011 19:38:00,10/02/2011 20:03:00,34,57,R,F,trip
134,10/02/2011 20:03:00,10/02/2011 22:17:00,57,57,,,wait
3,10/02/2011 22:17:00,10/02/2011 22:20:00,57,39,R,M,trip
508,10/02/2011 22:20:00,10/03/2011 06:48:00,39,39,,,wait
7,10/03/2011 06:48:00,10/03/2011 06:55:00,39,50,R,M,trip
1032,10/03/2011 06:55:00,10/04/2011 00:07:00,50,16,,,wait
10,10/04/2011 00:07:00,10/04/2011 00:17:00,16,30,R,M,trip
1860,10/04/2011 00:17:00,10/05/2011 07:17:00,30,30,,,wait
3,10/05/2011 07:17:00,10/05/2011 07:20:00,30,11,R,M,trip
26,10/05/2011 07:20:00,10/05/2011 07:46:00,11,11,,,wait
13,10/05/2011 07:46:00,10/05/2011 07:59:00,11,36,R,M,trip
61,10/05/2011 07:59:00,10/05/2011 09:00:00,36,36,,,wait
17,10/05/2011 09:00:00,10/05/2011 09:17:00,36,11,R,M,trip
414,10/05/2011 09:17:00,10/05/2011 16:11:00,11,11,,,wait
6,10/05/2011 16:11:00,10/05/2011 16:17:00,11,45,R,F,trip
114,10/05/2011 16:17:00,10/05/2011 18:11:00,45,45,,,wait
14,10/05/2011 18:11:00,10/05/2011 18:25:00,45,52,C,,trip
142,10/05/2011 18:25:00,10/05/2011 20:47:00,52,52,,,wait
9,10/05/2011 20:47:00,10/05/2011 20:56:00,52,42,C,,trip
779,10/05/2011 20:56:00,10/06/2011 09:55:00,42,42,,,wait
104,10/06/2011 09:55:00,10/06/2011 11:39:00,42,42,C,,trip
125,10/06/2011 11:39:00,10/06/2011 13:44:00,42,42,,,wait
3,10/06/2011 13:44:00,10/06/2011 13:47:00,42,36,R,M,trip
356,10/06/2011 13:47:00,10/06/2011 19:43:00,36,36,,,wait
11,10/06/2011 19:43:00,10/06/2011 19:54:00,36,5,R,M,trip
40,10/06/2011 19:54:00,10/06/2011 20:34:00,5,5,,,wait
20,10/06/2011 20:34:00,10/06/2011 20:54:00,5,41,C,,trip
207,10/06/2011 20:54:00,10/07/2011 00:21:00,41,41,,,wait
8,10/07/2011 00:21:00,10/07/2011 00:29:00,41,32,R,M,trip
518,10/07/2011 00:29:00,10/07/2011 09:07:00,32,32,,,wait
9,10/07/2011 09:07:00,10/07/2011 09:16:00,32,53,R,M,trip
4,10/07/2011 09:16:00,10/07/2011 09:20:00,53,53,,,wait
4,10/07/2011 09:20:00,10/07/2011 09:24:00,53,52,R,M,trip
490,10/07/2011 09:24:00,10/07/2011 17:34:00,52,41,,,wait
12,10/07/2011 17:34:00,10/07/2011 17:46:00,41,10,R,F,trip
30,10/07/2011 17:46:00,10/07/2011 18:16:00,10,10,,,wait
22,10/07/2011 18:16:00,10/07/2011 18:38:00,10,60,R,M,trip
176,10/07/2011 18:38:00,10/07/2011 21:34:00,60,60,,,wait
15,10/07/2011 21:34:00,10/07/2011 21:49:00,60,21,R,M,trip
396,10/07/2011 21:49:00,10/08/2011 04:25:00,21,21,,,wait
16,10/08/2011 04:25:00,10/08/2011 04:41:00,21,9,C,,trip
450,10/08/2011 04:41:00,10/08/2011 12:11:00,9,9,,,wait
12,10/08/2011 12:11:00,10/08/2011 12:23:00,9,14,C,,trip
94,10/08/2011 12:23:00,10/08/2011 13:57:00,14,14,,,wait
6,10/08/2011 13:57:00,10/08/2011 14:03:00,14,32,C,,trip
74,10/08/2011 14:03:00,10/08/2011 15:17:00,32,32,,,wait
5,10/08/2011 15:17:00,10/08/2011 15:22:00,32,11,R,M,trip
127,10/08/2011 15:22:00,10/08/2011 17:29:00,11,11,,,wait
48,10/08/2011 17:29:00,10/08/2011 18:17:00,11,11,C,,trip
1221,10/08/2011 18:17:00,10/09/2011 14:38:00,11,11,,,wait
11,10/09/2011 14:38:00,10/09/2011 14:49:00,11,14,C,,trip
2,10/09/2011 14:49:00,10/09/2011 14:51:00,14,14,,,wait
121,10/09/2011 14:51:00,10/09/2011 16:52:00,14,44,C,,trip
537,10/09/2011 16:52:00,10/10/2011 01:49:00,44,44,,,wait
15,10/10/2011 01:49:00,10/10/2011 02:04:00,44,6,C,,trip
409,10/10/2011 02:04:00,10/10/2011 08:53:00,6,6,,,wait
